Simbolo,Codice Alimento,Nome Alimento ITA,Nome Alimento ENG,Nome Scientifico,Categoria Merceologica,parte edibile,"Energia, Ric con fibra (kcal)","Energia, Ric con fibra (kJ)",Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Colesterolo,Carboidrati disponibili (MSE),Amido (MSE),Carboidrati solubili (MSE),Fibra alimentare totale,Alcol,Acqua,Ferro,Calcio,Sodio,Potassio,Fosforo,Zinco,Magnesio,Rame,Selenio,Cloro,Iodio,Manganese,Zolfo,"Vitamina B1, Tiamina","Vitamina B2, Riboflavina",Vitamina C,Niacina,Vitamina B6,Folati totali,Acido pantotenico,Biotina,Vitamina B12,Retinolo equivalenti (RE),Retinolo,ß-carotene equivalenti,Vitamina E (ATE),Vitamina D,Vitamina K,Acidi grassi saturi totali,"Somma degli acidi butirrico (C4:0), caproico (C6:0), caprilico (C8:0) e caprico (C10:0)",Acido laurico (C12:0),Acido miristico (C14:0),Acido palmitico (C16:0),Acido stearico (C18:0),Acido arachidico (C20:0),Acido beenico (C22:0),Acidi grassi monoinsaturi totali,Acido miristoleico (C14:1),Acido palmitoleico (C16:1ω-7),Acido oleico (C18:1ω-9cis),Acidi eicosenoico (C20:1ω-9),Acido erucico (C22:1ω-9),Acidi grassi polinsaturi totali,Acido linoleico (C18:2ω-6),Acido linolenico (C18:3ω-3),Acido arachidonico (C20:4ω-6),Acido eicosapentaenoico (EPA) (C20:5ω-3),Acido docosaesaenoico (DHA) (C22:6ω-3),Altri acidi grassi polinsaturi,Triptofano,Treonina,Isoleucina,Leucina,Lisina,Metionina,Cistina,Fenilalanina,Tirosina,Valina,Arginina,Istidina,Alanina,Acido aspartico,Acido glutammico,Glicina,Prolina,Serina,Glucosio,Fruttosio,Galattosio,Saccarosio (MSE),Maltosio (MSE),Lattosio (MSE)
Symbol ,Food Code,Food Name ITA,Food Name ENG,Scientific Name,Food Category,edible part,"Energy, Rec with fibre (kcal)","Energy, Rec with fibre (kJ)",Total protein,Animal protein,Vegetable protein,Total fat,Animal fat,Vegetable fat,Cholesterol,Available carbohydrates (MSE),Starch (MSE),Soluble carbohydrates (MSE),Dietary total fibre,Alcohol,Water,Iron,Calcium,Sodium,Potassium,Phosphorus,Zinc,Magnesium,Copper,Selenium,Chloride,Iodine,Manganese,Sulfur,"Vitamin B1, Thiamin","Vitamin B2, Riboflavin",Vitamin C,Niacin,Vitamin B6,Total folate,Pantothenic acid,Biotin,Vitamin B12,Retinol equivalents (RE),Retinol,ß-carotene equivalents,Vitamin E (ATE),Vitamin D,Vitamin K,Saturated fatty acids,"Sum of butyric (C4:0), caproic (C6:0), caprylic (C8:0) and capric (C10:0) acids",Lauric acid (C12:0),Myristic acid (C14:0),Palmitic acid (C16:0),Stearic acid (C18:0),Arachidic acid (C20:0),Behenic acid (C22:0),Monounsaturated fatty acids,Myristoleic acid (C14:1),Palmitoleic acid (C16:1ω-7),Oleic acid (C18:1ω-9cis),Eicosenoic acid (C20:1ω-9),Erucic acid (C22:1ω-9),Polyunsaturated fatty acids,Linoleic acid (C18:2ω-6),Linolenic acid (C18:3ω-3),Arachidonic acid (C20:4ω-6),Eicosapentaenoic acid (EPA) (C20:5ω-3),Docosahexaenoic acid (DHA) (C22:6ω-3),Other polyunsaturated fatty acids,Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenilalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,Glucose,Fructose,Galactose,Sucrose (MSE),Maltose (MSE),Lactose (MSE)
,,,,,,g,kcal,kJ,g,g,g,g,g,g,mg,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,µg,mg,µg,mg,mg,mg,mg,mg,mg,mg,µg,mg,µg,µg,µg,µg,µg,mg,µg,µg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,g,g,g,g,g,g
1,100219_1,"PATATE, POLVERE ISTANTANEA","POTATO, POWDER",,1001,100,351,1488,"9,1",0,"9,1","0,8",0,"0,8",0,"73,2",71,"2,2","16,5",0,7,"2,4",89,1190,1550,220,"1,1",-3,-3,-3,-3,-3,-3,-3,"0,04","0,14",12,"5,6","0,84",13,-3,-3,-3,-2,0,-2,"0,25",0,-3,"0,19",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,63","0,48","0,15",-3,-3,-3,0,121,360,399,529,498,147,95,403,264,503,451,156,399,1447,1508,251,329,329,-3,-3,-3,-3,-3,-3
1,18_1,TAPIOCA,TAPIOCA,Manihot utilissima,1001,100,364,1554,"0,6",0,"0,6","0,2",0,"0,2",0,"95,8","95,8",-2,"0,4",0,"12,6",1,12,4,20,12,"0,12",-3,-3,-3,-3,-3,-3,-3,0,"0,1",0,0,-2,-2,-3,-3,-3,0,0,0,-2,0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,05",-3,-3,"0,05",-3,-3,"0,03","0,02","0,01",-3,-3,-3,0,9,13,13,19,19,6,13,13,6,16,60,9,16,35,92,13,16,16,-3,-3,-3,-3,-3,-3
1,3002_1,"PATATE, FECOLA","STARCH, POTATO",,1001,100,349,1488,"1,4",0,"1,4",0,0,0,0,"91,5","91,5",0,0,0,"16,1","0,3",10,31,1580,27,"1,3",-3,-3,-3,-3,-3,-3,-3,-2,-2,0,-2,"0,01",51,-3,-3,-3,0,0,0,"0,26",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,55,61,81,77,23,15,62,41,77,69,24,61,223,232,39,51,51,-3,-3,-3,-3,-3,-3
1,380_1,"PATATE, NOVELLE","POTATOES, YOUNG or EARLY",Solanum tuberosum,1001,96,70,298,2,0,2,0,0,0,0,"15,8","15,6","0,2","1,4",0,"81,9","0,6",10,23,367,54,"0,52",-3,-3,-3,-3,-3,-3,-3,"0,12","0,03",28,"2,4","0,44",25,-3,-3,-3,0,0,0,"0,06",0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,79,88,116,110,32,21,89,58,110,99,34,88,318,331,55,72,72,-3,-3,-3,-3,-3,-3
1,381_1,PATATE,POTATOES,Solanum tuberosum,1001,83,80,340,"2,1",0,"2,1","0,1",0,"0,1",0,18,"17,6","0,4","1,6",0,"78,5","0,6",10,7,570,54,"0,27",-3,-3,-3,-3,-3,-3,-3,"0,1","0,04",15,"2,5","0,44",35,-3,-3,-3,3,0,18,"0,06",0,-3,"0,03",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,01","0,01",-2,-3,-3,-3,0,28,83,92,122,115,34,22,93,61,116,104,36,92,334,348,58,76,76,-3,-3,-3,-3,-3,-3
1,382_1,"PATATINE, IN SACCHETTO, salate","POTATO CHIPS OR CRISPS, PLAIN, salted",,1001,100,540,2254,7,0,7,"34,6",0,"34,6",0,"51,2","50,5","0,7","4,5",0,"1,9","1,63",24,594,1275,165,"1,1",-3,-3,-3,-3,-3,-3,-3,"0,17","0,2",31,"3,8","0,66",45,-3,-3,-3,0,0,0,"4,88",0,-3,"10,96",-3,-3,-3,-3,-3,-3,-3,"9,84",-3,-3,"9,51",-3,-3,"12,17","11,98","0,19",-3,-3,-3,0,93,277,307,407,383,113,73,310,203,387,347,120,307,1113,1160,193,253,253,-3,-3,-3,-3,-3,-3
1,50399_1,"PATATE, DOLCI",BATATAS or SWEETPOTATOES,Ipomaea batatas,1001,84,92,391,"1,2",0,"1,2","0,3",0,"0,3",0,"21,3","15,6","5,7","2,3",0,"73,7","0,7",24,40,370,50,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,17",-2,23,"0,5","0,09",17,-3,-3,-3,655,0,3930,"4,56",0,-3,"0,06",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,132","0,11","0,02",-3,-3,-3,0,15,60,60,88,59,30,9,72,49,79,56,23,65,205,117,54,52,62,-3,-3,-3,-3,-3,-3
1,303_1,"ASPARAGI, di bosco","ASPARAGUS, wild from wood",Asparagus officinalis,2001,57,40,170,"4,6",0,"4,6","0,2",0,"0,2",0,4,0,4,"2,6",0,"89,3","1,1",25,5,198,90,"0,9",-3,-3,-3,-3,-3,-3,-3,"0,13","0,43",23,"1,5","0,11",218,-3,-3,-3,155,0,930,"1,44",0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,09","0,08","0,01",-3,-3,-3,0,55,131,120,210,210,61,42,120,96,173,182,74,265,504,968,158,265,149,-3,-3,-3,-3,-3,-3
1,304_1,"ASPARAGI, di campo","ASPARAGUS, wild from field",Asparagus officinalis,2001,87,33,138,"3,6",0,"3,6","0,2",0,"0,2",0,"3,3",0,"3,3","2,1",0,"91,4","1,2",25,2,240,77,"0,3",-3,-3,-3,-3,-3,-3,-3,"0,21","0,29",18,1,"0,09",175,-3,-3,-3,82,0,492,"1,16",0,-3,"0,05",-3,-3,-3,-3,-3,-3,-3,"0,01",-3,-3,"0,01",-3,-3,"0,09","0,08","0,01",-3,-3,-3,0,43,103,94,164,164,48,33,94,75,135,142,58,207,394,758,124,207,117,-3,-3,-3,-3,-3,-3
1,305_1,"ASPARAGI, di serra","ASPARAGUS, greenhouse",Asparagus officinalis,2001,52,28,120,3,0,3,"0,1",0,"0,1",0,3,0,3,"2,1",0,92,1,24,2,278,65,"0,8",-3,-3,-3,-3,-3,-3,-3,"0,27","0,25",24,"0,9","0,09",175,-3,-3,-3,13,0,78,"1,16",0,-3,"0,02",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-3,-3,"0,04","0,04",-2,-3,-3,-3,0,36,85,78,137,137,40,27,78,63,113,119,48,173,329,631,103,173,97,-3,-3,-3,-3,-3,-3
1,350_1,"SOIA, GERMOGLI","SOYA, SPROUTS",Glycine max,2001,98,51,214,"6,2",0,"6,2","1,4",0,"1,4",0,3,0,3,"1,1",0,"86,3",1,48,30,218,67,"1,2",-3,-3,-3,-3,-3,-3,-3,"0,23","0,2",13,"0,8","0,18",172,-3,-3,-3,24,0,144,"0,2",0,-3,"0,2",-3,-3,-3,-3,-3,-3,-3,"0,32",-3,-3,"0,31",-3,-3,"0,83","0,72","0,11",-3,-3,-3,0,75,238,275,444,356,65,74,304,226,294,429,165,260,840,931,238,319,308,-3,-3,-3,-3,-3,-3
